wavelength_nm,flux
369.99863,-4.4333124
370.08383,12.18896
370.16907,-44.317753
370.2543,-0.40225452
370.33957,-5.777457
370.42487,6.009096
370.51016,7.1136527
370.5955,17.903042
370.68082,17.03046
370.76617,15.686202
370.85156,2.7724254
370.93695,12.674656
371.0224,6.199239
371.10782,-4.998933
371.1933,-36.47435
371.27875,19.165916
371.36426,-5.489225
371.44977,41.911827
371.53534,37.144028
371.62088,28.477167
371.70648,44.52532
371.79205,-7.549837
371.8777,-8.525948
371.96332,-24.024323
372.04898,2.0517216
372.13464,-19.836395
372.22034,12.004957
372.30606,1.5811428
372.39178,17.378529
372.47757,2.67281
372.56332,3.0834692
372.6491,3.5615318
372.73492,-32.541027
372.82077,-0.79233015
372.90665,18.65519
372.9925,-19.663212
373.0784,13.90193
373.16434,0.7042497
373.25024,-2.4878364
373.3362,4.9289913
373.42218,7.8800626
373.50818,-16.805492
373.59418,42.680122
373.68024,-31.207811
373.7663,-3.5252364
373.85236,-2.2251453
373.93842,55.38891
374.02457,2.274069
374.1107,16.290773
374.19684,11.48543
374.28302,16.875372
374.3692,4.3590636
374.4554,11.785422
374.54166,-30.447021
374.6279,0.062756725
374.71417,-32.87133
374.80048,-5.579171
374.88678,-5.7431455
374.97308,-2.2928843
375.05945,23.465847
375.1458,-10.365971
375.2322,0.15073892
375.31863,11.174218
375.40506,11.64973
375.49152,1.9616296
375.57797,7.753029
375.66446,2.5729628
375.75098,1.5446444
375.8375,30.468744
375.92404,5.4135265
376.01062,15.27538
376.09723,13.61868
376.1838,-12.476449
376.27045,-24.836027
376.35712,-8.786146
376.4438,39.73727
376.53046,0.53689003
376.61716,23.117403
376.70392,12.668616
376.79065,-8.318067
376.8774,21.375048
376.9642,2.4937856
377.051,9.676155
377.13785,9.662842
377.22467,-8.446573
377.31158,23.054234
377.39844,1.6994308
377.48535,13.739244
377.5723,23.074652
377.65924,24.467478
377.74622,2.2606843
377.8332,-38.50713
377.92023,-18.532036
378.00723,-15.5772705
378.0943,15.274061
378.18134,-3.033583
378.26843,-7.2709756
378.35553,42.230957
378.4427,10.278511
378.52985,-7.207505
378.617,0.19372472
378.7042,-17.245552
378.7914,-4.178321
378.87863,16.841873
378.96588,20.725378
379.05316,-22.30738
379.14044,0.9131917
379.22775,35.699062
379.3151,12.843142
379.40244,-2.6384726
379.4898,-5.0874314
379.5772,7.9619336
379.6646,4.7757072
379.752,1.7964895
379.83948,3.5288851
379.92694,-14.591654
380.01447,-8.389307
380.10196,-0.3977587
380.1895,-25.152136
380.27704,1.526155
380.36462,21.564413
380.4522,13.55159
380.53983,9.258829
380.62747,2.1994774
380.71512,-5.887621
380.8028,17.32069
380.89047,9.816791
380.9782,26.896992
381.06592,18.11544
381.1537,-14.740001
381.24146,8.012032
381.32925,5.099471
381.41705,-19.460186
381.50488,17.850542
381.59274,-0.4523016
381.6806,4.475513
381.7685,8.836457
381.8564,21.56557
381.94437,-29.444704
382.03232,28.243738
382.1203,-0.94961107
382.2083,8.787149
382.29633,-23.590708
382.38434,12.424066
382.4724,-13.198991
382.5605,-13.0784
382.6486,12.184598
382.7367,1.4533278
382.82486,14.433178
382.913,2.3608863
383.00116,12.868794
383.0894,0.8348434
383.17758,-24.330915
383.26584,-20.57155
383.3541,0.1702493
383.44238,8.395404
383.5307,14.12837
383.619,-12.27376
383.70734,7.770188
383.79572,13.260741
383.8841,-0.6403346
383.97247,-9.655439
384.0609,-14.714419
384.14935,8.10334
384.23782,10.978319
384.3263,4.294168
384.41483,11.922057
384.50336,5.647154
384.59186,-3.074652
384.68045,3.1381347
384.76904,9.421977
384.85764,16.113247
384.94626,1.082251
385.0349,-1.7457166
385.1236,5.352464
385.21228,8.3523855
385.30096,10.52427
385.3897,-9.586388
385.47845,0.81181663
385.56723,17.752394
385.656,9.399034
385.7448,-16.281387
385.83368,-0.6414648
385.92252,5.6467996
386.01138,2.5051825
386.10028,9.3084135
386.18918,-4.3433
386.27814,14.902072
386.36707,28.968496
386.45605,17.26467
386.54504,5.785256
386.63406,4.7864237
386.72308,6.151096
386.81216,1.4858297
386.9012,10.297729
386.99033,28.667707
387.07944,20.718544
387.16858,6.7078004
387.25775,12.780914
387.34692,8.487702
387.43613,-1.3751768
387.52533,-4.853182
387.61456,-4.671553
387.70386,32.113613
387.79315,5.4536967
387.88242,6.7385287
387.97174,12.72437
388.0611,19.713545
388.15045,23.59797
